"DATE","county","max_prcp","min_prcp","mean_prcp"
"2021-07-05","Osceola County",1.35,0.15,0.771666666666667
"2021-07-05","Palm Beach County",1,0,0.140454545454545
"2021-07-05","Pasco County",2.36,0,0.206428571428571
"2021-07-05","Pinellas County",0.22,0,0.0165384615384615
"2021-07-05","Polk County",0.3,0,0.0294444444444444
"2021-07-05","Putnam County",0.98,0.02,0.495555555555556
"2021-07-05","Santa Rosa County",0.93,0.04,0.378
"2021-07-05","Sarasota County",0.73,0,0.0617647058823529
"2021-07-05","Seminole County",0.21,0,0.062
"2021-07-05","St. Johns County",1.11,0,0.401666666666667
"2021-07-05","St. Lucie County",0.34,0,0.0530769230769231
"2021-07-05","Sumter County",0.69,0.42,0.555
"2021-07-05","Suwannee County",0.02,0,0.004
"2021-07-05","Taylor County",0.22,0.22,0.22
"2021-07-05","Volusia County",2.78,0,0.5695
"2021-07-05","Wakulla County",0,0,0
"2021-07-05","Walton County",1.33,0,0.461666666666667
"2021-07-05","Washington County",0.07,0,0.0233333333333333
"2021-07-06","Alachua County",0.52,0,0.053
"2021-07-06","Baker County",0.64,0.16,0.42
"2021-07-06","Bay County",1.17,0.12,0.600769230769231
"2021-07-06","Brevard County",0.9,0,0.281944444444444
"2021-07-06","Broward County",1.12,0,0.597333333333333
"2021-07-06","Charlotte County",1.74,0,0.185
"2021-07-06","Citrus County",0.9,0.04,0.237272727272727
"2021-07-06","Clay County",0.03,0,0.00416666666666667
"2021-07-06","Collier County",2.49,0.2,0.995
"2021-07-06","Columbia County",0.17,0,0.0442857142857143
"2021-07-06","DeSoto County",0,0,0
"2021-07-06","Dixie County",0.2,0,0.0575
"2021-07-06","Duval County",0.87,0,0.130952380952381
"2021-07-06","Escambia County",2.36,0,0.778
"2021-07-06","Flagler County",0.03,0,0.0075
"2021-07-06","Franklin County",0.86,0.01,0.406666666666667
"2021-07-06","Gadsden County",1.32,0.04,0.688333333333333
"2021-07-06","Gilchrist County",0,0,0
"2021-07-06","Glades County",4.4,0.12,1.3125
"2021-07-06","Gulf County",0.05,0.05,0.05
"2021-07-06","Hamilton County",0.01,0.01,0.01
