"DATE","county","max_prcp","min_prcp","mean_prcp"
"2023-08-29","Bradford County",0.15,0.15,0.15
"2023-08-29","Brevard County",0.74,0,0.153333333333333
"2023-08-29","Broward County",2.01,0.09,0.531071428571429
"2023-08-29","Charlotte County",2.39,0,0.272727272727273
"2023-08-29","Citrus County",3.97,0.35,2.04714285714286
"2023-08-29","Clay County",0.33,0,0.066
"2023-08-29","Collier County",1.34,0,0.410714285714286
"2023-08-29","Columbia County",0.03,0,0.00625
"2023-08-29","DeSoto County",0.17,0.17,0.17
"2023-08-29","Dixie County",1.11,0.17,0.64
"2023-08-29","Duval County",0.49,0,0.0480952380952381
"2023-08-29","Escambia County",0.05,0,0.00714285714285714
"2023-08-29","Flagler County",0.39,0,0.092
"2023-08-29","Franklin County",1.23,1.23,1.23
"2023-08-29","Gadsden County",0,0,0
"2023-08-29","Gilchrist County",0.24,0.05,0.145
"2023-08-29","Glades County",0,0,0
"2023-08-29","Gulf County",0.62,0.17,0.395
"2023-08-29","Hamilton County",0.33,0.04,0.185
"2023-08-29","Hardee County",4.1,4.1,4.1
"2023-08-29","Hendry County",0.65,0,0.216666666666667
"2023-08-29","Hernando County",0.64,0,0.157
"2023-08-29","Highlands County",2.13,0,0.343333333333333
"2023-08-29","Hillsborough County",1.12,0,0.113555555555556
"2023-08-29","Holmes County",0.45,0.15,0.3
"2023-08-29","Indian River County",0.74,0.06,0.413636363636364
"2023-08-29","Jackson County",0.22,0,0.0733333333333333
"2023-08-29","Jefferson County",0.23,0.12,0.175
"2023-08-29","Lafayette County",1.22,1.22,1.22
"2023-08-29","Lake County",0.42,0,0.0507142857142857
"2023-08-29","Lee County",1.11,0,0.414285714285714
"2023-08-29","Leon County",2.06,0,0.626086956521739
"2023-08-29","Levy County",1.9,0.22,0.664
"2023-08-29","Liberty County",1.39,1.39,1.39
"2023-08-29","Madison County",0.1,0.1,0.1
"2023-08-29","Manatee County",2.4,0.02,0.37
"2023-08-29","Marion County",2.11,0,0.463529411764706
"2023-08-29","Martin County",1.61,0.02,0.511333333333333
"2023-08-29","Miami-Dade County",0.95,0,0.303461538461538
