"DATE","county","max_prcp","min_prcp","mean_prcp"
"2022-11-08","Santa Rosa County",0,0,0
"2022-11-08","Sarasota County",0,0,0
"2022-11-08","Seminole County",1.4,0,0.198888888888889
"2022-11-08","St. Johns County",0.12,0,0.0291666666666667
"2022-11-08","St. Lucie County",0.24,0,0.0246153846153846
"2022-11-08","Sumter County",0.12,0,0.044
"2022-11-08","Suwannee County",0,0,0
"2022-11-08","Taylor County",0,0,0
"2022-11-08","Volusia County",0.71,0,0.147931034482759
"2022-11-08","Wakulla County",0,0,0
"2022-11-08","Walton County",0,0,0
"2022-11-08","Washington County",0,0,0
"2022-11-09","Alachua County",0,0,0
"2022-11-09","Baker County",0,0,0
"2022-11-09","Bay County",0,0,0
"2022-11-09","Brevard County",1.72,0,0.133414634146341
"2022-11-09","Broward County",3.5,0.52,1.22481481481481
"2022-11-09","Charlotte County",0.05,0,0.00416666666666667
"2022-11-09","Citrus County",0.03,0,0.00454545454545455
"2022-11-09","Clay County",1.81,0,0.182
"2022-11-09","Collier County",0.01,0,0.00166666666666667
"2022-11-09","Columbia County",0,0,0
"2022-11-09","DeSoto County",0,0,0
"2022-11-09","Dixie County",0,0,0
"2022-11-09","Duval County",0.29,0,0.0366666666666667
"2022-11-09","Escambia County",0,0,0
"2022-11-09","Flagler County",0.21,0,0.114615384615385
"2022-11-09","Franklin County",1.08,0,0.36
"2022-11-09","Gadsden County",0,0,0
"2022-11-09","Gilchrist County",0,0,0
"2022-11-09","Glades County",0.03,0,0.0125
"2022-11-09","Gulf County",0,0,0
"2022-11-09","Hamilton County",0,0,0
"2022-11-09","Hardee County",0.85,0.85,0.85
"2022-11-09","Hendry County",0.47,0,0.132857142857143
"2022-11-09","Hernando County",0.03,0,0.00461538461538461
"2022-11-09","Highlands County",2.46,0,0.309
"2022-11-09","Hillsborough County",0.37,0,0.10046511627907
"2022-11-09","Holmes County",0,0,0
"2022-11-09","Indian River County",1.31,0.08,0.2875
"2022-11-09","Jackson County",0,0,0
"2022-11-09","Jefferson County",0,0,0
"2022-11-09","Lafayette County",0,0,0
"2022-11-09","Lake County",1,0,0.3075
"2022-11-09","Lee County",0.12,0,0.026
"2022-11-09","Leon County",0,0,0
"2022-11-09","Levy County",0,0,0
"2022-11-09","Manatee County",0.15,0,0.024
"2022-11-09","Marion County",0.05,0,0.01
"2022-11-09","Martin County",0.73,0.11,0.340666666666667
"2022-11-09","Miami-Dade County",2.19,0.03,0.785
"2022-11-09","Monroe County",0.66,0,0.0583333333333333
"2022-11-09","Nassau County",0,0,0
"2022-11-09","Okaloosa County",0,0,0
"2022-11-09","Okeechobee County",0,0,0
"2022-11-09","Orange County",1.78,0,1.13454545454545
"2022-11-09","Osceola County",0.7,0,0.322857142857143
"2022-11-09","Palm Beach County",3.64,0,0.797241379310345
"2022-11-09","Pasco County",0.06,0,0.018
"2022-11-09","Pinellas County",0.24,0,0.053030303030303
"2022-11-09","Polk County",2.1,0,0.4495
"2022-11-09","Putnam County",0.1,0,0.01875
"2022-11-09","Santa Rosa County",0,0,0
"2022-11-09","Sarasota County",0.2,0,0.0243478260869565
"2022-11-09","Seminole County",2.3,0.87,1.461
"2022-11-09","St. Johns County",0.49,0,0.0630769230769231
"2022-11-09","St. Lucie County",1.32,0.02,0.29
"2022-11-09","Sumter County",0.12,0,0.028
"2022-11-09","Suwannee County",0,0,0
"2022-11-09","Taylor County",0,0,0
"2022-11-09","Volusia County",2.4,0.17,1.16483870967742
"2022-11-09","Wakulla County",0,0,0
"2022-11-09","Walton County",0,0,0
"2022-11-09","Washington County",0,0,0
"2022-11-10","Alachua County",2.51,0,0.395
"2022-11-10","Baker County",0.5,0.15,0.29
"2022-11-10","Bay County",0.55,0,0.0458333333333333
"2022-11-10","Brevard County",4.42,0.96,2.87121951219512
"2022-11-10","Broward County",3.89,0,1.51241379310345
"2022-11-10","Charlotte County",2.08,0.51,1.196
"2022-11-10","Citrus County",2.38,0.19,0.855454545454545
"2022-11-10","Clay County",3.51,1.45,2.18583333333333
"2022-11-10","Collier County",0.6,0,0.259230769230769
"2022-11-10","Columbia County",0.03,0,0.0133333333333333
