"fips_code","county","date","total_outage"
12001,"Alachua",2023-05-01,2382.25
12001,"Alachua",2023-05-02,190.5
12001,"Alachua",2023-05-03,49.5
12001,"Alachua",2023-05-04,703.75
12001,"Alachua",2023-05-05,1003.5
12001,"Alachua",2023-05-06,2066.5
12001,"Alachua",2023-05-07,134
12001,"Alachua",2023-05-08,120.25
12001,"Alachua",2023-05-09,106.25
12001,"Alachua",2023-05-10,639.75
12001,"Alachua",2023-05-11,713.75
12001,"Alachua",2023-05-12,2408.75
12001,"Alachua",2023-05-13,13304
12001,"Alachua",2023-05-14,111.5
12001,"Alachua",2023-05-15,1320.5
12001,"Alachua",2023-05-16,239
12001,"Alachua",2023-05-17,1559.5
12001,"Alachua",2023-05-18,347.5
12001,"Alachua",2023-05-19,194
12001,"Alachua",2023-05-20,221.25
12001,"Alachua",2023-05-21,253.25
12001,"Alachua",2023-05-22,4109.25
12001,"Alachua",2023-05-23,1516.75
12001,"Alachua",2023-05-24,360.75
12001,"Alachua",2023-05-25,96.25
12001,"Alachua",2023-05-26,518.5
12001,"Alachua",2023-05-27,574.5
12001,"Alachua",2023-05-28,29.25
12001,"Alachua",2023-05-29,174
12001,"Alachua",2023-05-30,115
12001,"Alachua",2023-05-31,95.5
12001,"Alachua",2023-06-01,602.5
12001,"Alachua",2023-06-02,47
12001,"Alachua",2023-06-03,61.5
12001,"Alachua",2023-06-04,504
12001,"Alachua",2023-06-05,133.5
12001,"Alachua",2023-06-06,148.25
12001,"Alachua",2023-06-07,40.75
12001,"Alachua",2023-06-08,5.25
12001,"Alachua",2023-06-09,254
12001,"Alachua",2023-06-10,315.75
12001,"Alachua",2023-06-11,48.75
12001,"Alachua",2023-06-12,21.5
12001,"Alachua",2023-06-13,26.75
12001,"Alachua",2023-06-14,148.75
12001,"Alachua",2023-06-15,4295.75
12001,"Alachua",2023-06-16,13598.25
12001,"Alachua",2023-06-17,3107.5
12001,"Alachua",2023-06-18,1060
12001,"Alachua",2023-06-19,184.75
12001,"Alachua",2023-06-20,2335.25
12001,"Alachua",2023-06-21,932.75
12001,"Alachua",2023-06-22,1411.75
12001,"Alachua",2023-06-23,2608
12001,"Alachua",2023-06-24,1956
12001,"Alachua",2023-06-25,84.75
12001,"Alachua",2023-06-26,1008.75
12001,"Alachua",2023-06-27,455.75
12001,"Alachua",2023-06-28,1268.75
12001,"Alachua",2023-06-29,436
12001,"Alachua",2023-06-30,2966.5
12001,"Alachua",2023-07-01,299.75
12001,"Alachua",2023-07-02,1010.25
12001,"Alachua",2023-07-03,198.75
12001,"Alachua",2023-07-04,2119
12001,"Alachua",2023-07-05,739.25
12001,"Alachua",2023-07-06,51.25
12001,"Alachua",2023-07-07,425.25
12001,"Alachua",2023-07-08,52.5
12001,"Alachua",2023-07-09,426.75
12001,"Alachua",2023-07-10,1529.5
12001,"Alachua",2023-07-11,2436.25
12001,"Alachua",2023-07-12,778.5
12001,"Alachua",2023-07-13,162.5
12001,"Alachua",2023-07-14,654
12001,"Alachua",2023-07-15,455.75
12001,"Alachua",2023-07-16,179.25
12001,"Alachua",2023-07-17,1243.5
12001,"Alachua",2023-07-18,159.25
12001,"Alachua",2023-07-19,630.25
12001,"Alachua",2023-07-20,119.75
12001,"Alachua",2023-07-21,208.25
12001,"Alachua",2023-07-22,2004.75
12001,"Alachua",2023-07-23,1380.25
12001,"Alachua",2023-07-24,1729
12001,"Alachua",2023-07-25,2241
12001,"Alachua",2023-07-26,382.75
12001,"Alachua",2023-07-27,118.75
12001,"Alachua",2023-07-28,547.25
12001,"Alachua",2023-07-29,442.25
12001,"Alachua",2023-07-30,1037.75
12001,"Alachua",2023-07-31,3865.5
12001,"Alachua",2023-08-01,181.5
12001,"Alachua",2023-08-02,4522.5
12001,"Alachua",2023-08-03,63.5
12001,"Alachua",2023-08-04,86.25
12001,"Alachua",2023-08-05,21.75
12001,"Alachua",2023-08-06,125.75
12001,"Alachua",2023-08-07,243.5
12001,"Alachua",2023-08-08,131.5
12001,"Alachua",2023-08-09,1061
12001,"Alachua",2023-08-10,510.5
12001,"Alachua",2023-08-11,1938
12001,"Alachua",2023-08-12,243.25
12001,"Alachua",2023-08-13,982
12001,"Alachua",2023-08-14,5528.5
12001,"Alachua",2023-08-15,612.75
12001,"Alachua",2023-08-16,1837
12001,"Alachua",2023-08-17,137.5
12001,"Alachua",2023-08-18,262.25
12001,"Alachua",2023-08-19,112.25
12001,"Alachua",2023-08-20,297
12001,"Alachua",2023-08-21,130.5
12001,"Alachua",2023-08-22,487.25
12001,"Alachua",2023-08-23,189.25
12001,"Alachua",2023-08-24,48.25
12001,"Alachua",2023-08-25,221.25
12001,"Alachua",2023-08-26,490
12001,"Alachua",2023-08-27,605.25
12001,"Alachua",2023-08-28,428.25
12001,"Alachua",2023-08-29,568.75
12001,"Alachua",2023-08-30,112240.25
12001,"Alachua",2023-08-31,144384
12001,"Alachua",2023-09-01,24105
12001,"Alachua",2023-09-02,3587.75
12001,"Alachua",2023-09-03,4548.25
12001,"Alachua",2023-09-04,185.25
12001,"Alachua",2023-09-05,91.5
12001,"Alachua",2023-09-06,110.5
12001,"Alachua",2023-09-07,1262.75
12001,"Alachua",2023-09-08,585.5
12001,"Alachua",2023-09-09,24.5
12001,"Alachua",2023-09-10,1339.5
12001,"Alachua",2023-09-11,118
12001,"Alachua",2023-09-12,229.25
12001,"Alachua",2023-09-13,24.5
12001,"Alachua",2023-09-14,325.25
12001,"Alachua",2023-09-15,442.25
12001,"Alachua",2023-09-16,262.25
12001,"Alachua",2023-09-17,279.25
12001,"Alachua",2023-09-18,1793.25
12001,"Alachua",2023-09-19,1011.25
12001,"Alachua",2023-09-20,55.25
12001,"Alachua",2023-09-21,3916.5
12001,"Alachua",2023-09-22,2261.75
12001,"Alachua",2023-09-23,122.25
12001,"Alachua",2023-09-24,77.25
12001,"Alachua",2023-09-25,95.5
12001,"Alachua",2023-09-26,598.5
12001,"Alachua",2023-09-27,152.75
12001,"Alachua",2023-09-28,601.75
12001,"Alachua",2023-09-29,1121
12001,"Alachua",2023-09-30,4067.25
12001,"Alachua",2023-10-01,132.25
12001,"Alachua",2023-10-02,178.25
12001,"Alachua",2023-10-03,427.75
12001,"Alachua",2023-10-04,962.5
12001,"Alachua",2023-10-05,158.25
12001,"Alachua",2023-10-06,196.75
12001,"Alachua",2023-10-07,125.75
12001,"Alachua",2023-10-08,32.75
12001,"Alachua",2023-10-09,695.75
12001,"Alachua",2023-10-10,112.5
12001,"Alachua",2023-10-11,181.75
12001,"Alachua",2023-10-12,7636.25
12001,"Alachua",2023-10-13,350.5
12001,"Alachua",2023-10-14,105.75
12001,"Alachua",2023-10-15,150.5
12001,"Alachua",2023-10-16,468.5
12001,"Alachua",2023-10-17,205.5
12001,"Alachua",2023-10-18,107
12001,"Alachua",2023-10-19,46.25
12001,"Alachua",2023-10-20,66
12001,"Alachua",2023-10-21,142
12001,"Alachua",2023-10-22,40
12001,"Alachua",2023-10-23,91
12001,"Alachua",2023-10-24,818
12001,"Alachua",2023-10-25,810.5
12001,"Alachua",2023-10-26,263.5
12001,"Alachua",2023-10-27,500.5
12001,"Alachua",2023-10-28,45.75
12001,"Alachua",2023-10-29,440.5
12001,"Alachua",2023-10-30,47.5
12001,"Alachua",2023-10-31,54.75
12001,"Alachua",2023-11-01,158
12001,"Alachua",2023-11-02,979.25
12001,"Alachua",2023-11-03,126.5
12001,"Alachua",2023-11-04,17
12001,"Alachua",2023-11-05,883.5
12001,"Alachua",2023-11-06,657.25
12001,"Alachua",2023-11-07,31
12001,"Alachua",2023-11-08,52
12001,"Alachua",2023-11-09,494.25
12001,"Alachua",2023-11-10,63.5
12001,"Alachua",2023-11-11,44.5
12001,"Alachua",2023-11-12,66.5
12001,"Alachua",2023-11-13,31.25
12001,"Alachua",2023-11-14,638.25
12001,"Alachua",2023-11-15,1940.25
12001,"Alachua",2023-11-16,178.5
12001,"Alachua",2023-11-17,586.25
12001,"Alachua",2023-11-18,896.5
12001,"Alachua",2023-11-19,1095.5
12001,"Alachua",2023-11-20,59
12001,"Alachua",2023-11-21,627.5
12001,"Alachua",2023-11-22,34.5
12001,"Alachua",2023-11-23,36.25
12001,"Alachua",2023-11-24,30.25
12001,"Alachua",2023-11-25,36
12001,"Alachua",2023-11-26,3685.5
12001,"Alachua",2023-11-27,620.75
12001,"Alachua",2023-11-28,77
12001,"Alachua",2023-11-29,54.75
12001,"Alachua",2023-11-30,207.5
12001,"Alachua",2023-12-01,67
12001,"Alachua",2023-12-02,95.75
12001,"Alachua",2023-12-03,56
12001,"Alachua",2023-12-04,229.5
12001,"Alachua",2023-12-05,439.75
12001,"Alachua",2023-12-06,47.25
12001,"Alachua",2023-12-07,1839.25
12001,"Alachua",2023-12-08,40.75
12001,"Alachua",2023-12-09,39.5
12001,"Alachua",2023-12-10,2667.25
12001,"Alachua",2023-12-11,4177.75
12001,"Alachua",2023-12-12,68
12001,"Alachua",2023-12-13,105
12001,"Alachua",2023-12-14,651
12001,"Alachua",2023-12-15,746.5
12001,"Alachua",2023-12-16,875.25
12001,"Alachua",2023-12-17,29679
12001,"Alachua",2023-12-18,1650.25
12001,"Alachua",2023-12-19,115
12001,"Alachua",2023-12-20,28.75
12001,"Alachua",2023-12-21,16.75
12001,"Alachua",2023-12-22,1.75
12001,"Alachua",2023-12-23,39.25
12001,"Alachua",2023-12-24,8.5
12001,"Alachua",2023-12-25,780.75
12001,"Alachua",2023-12-26,650.5
12001,"Alachua",2023-12-27,69
12001,"Alachua",2023-12-28,158.5
12001,"Alachua",2023-12-29,628.75
12001,"Alachua",2023-12-30,17.25
12001,"Alachua",2023-12-31,47.25
12003,"Baker",2023-05-01,154.25
12003,"Baker",2023-05-02,25.5
12003,"Baker",2023-05-03,12.75
12003,"Baker",2023-05-04,106
12003,"Baker",2023-05-06,1.5
12003,"Baker",2023-05-07,2
12003,"Baker",2023-05-08,97
12003,"Baker",2023-05-09,7.25
12003,"Baker",2023-05-10,151.5
12003,"Baker",2023-05-11,1433
12003,"Baker",2023-05-12,4.25
12003,"Baker",2023-05-13,649.5
12003,"Baker",2023-05-14,30
12003,"Baker",2023-05-15,3.5
12003,"Baker",2023-05-16,54.25
12003,"Baker",2023-05-17,392.75
12003,"Baker",2023-05-18,75.5
12003,"Baker",2023-05-19,59
12003,"Baker",2023-05-20,114
12003,"Baker",2023-05-21,71
12003,"Baker",2023-05-22,290.5
12003,"Baker",2023-05-23,130.25
12003,"Baker",2023-05-24,45.5
12003,"Baker",2023-05-25,3
12003,"Baker",2023-05-26,10
12003,"Baker",2023-05-27,0
12003,"Baker",2023-05-28,0
12003,"Baker",2023-05-29,2.75
