"fips_code","county","date","total_outage"
12001,"Alachua",2022-10-08,96.75
12001,"Alachua",2022-10-09,1814.5
12001,"Alachua",2022-10-10,131.75
12001,"Alachua",2022-10-11,1781
12001,"Alachua",2022-10-12,142.75
12001,"Alachua",2022-10-13,3493.75
12001,"Alachua",2022-10-14,854.5
12001,"Alachua",2022-10-15,705.5
12001,"Alachua",2022-10-16,44
12001,"Alachua",2022-10-17,203
12001,"Alachua",2022-10-18,76.5
12001,"Alachua",2022-10-19,54.5
12001,"Alachua",2022-10-20,127.75
12001,"Alachua",2022-10-21,20.25
12001,"Alachua",2022-10-22,31
12001,"Alachua",2022-10-23,69.25
12001,"Alachua",2022-10-24,25.25
12001,"Alachua",2022-10-25,364.5
12001,"Alachua",2022-10-26,84.5
12001,"Alachua",2022-10-27,41
12001,"Alachua",2022-10-28,66.5
12001,"Alachua",2022-10-29,91.25
12001,"Alachua",2022-10-30,807.5
12001,"Alachua",2022-10-31,89.25
12001,"Alachua",2022-11-01,341.5
12001,"Alachua",2022-11-02,1988.5
12001,"Alachua",2022-11-03,1500
12001,"Alachua",2022-11-04,93
12001,"Alachua",2022-11-05,23.5
12001,"Alachua",2022-11-06,215.75
12001,"Alachua",2022-11-07,785.75
12001,"Alachua",2022-11-08,260.5
12001,"Alachua",2022-11-09,202
12001,"Alachua",2022-11-10,52448
12001,"Alachua",2022-11-11,67705.5
12001,"Alachua",2022-11-12,79.75
12001,"Alachua",2022-11-13,623.25
12001,"Alachua",2022-11-14,1062.5
12001,"Alachua",2022-11-15,31.5
12001,"Alachua",2022-11-16,119
12001,"Alachua",2022-11-17,1545.5
12001,"Alachua",2022-11-18,227
12001,"Alachua",2022-11-19,318.5
12001,"Alachua",2022-11-20,33.25
12001,"Alachua",2022-11-21,289.25
12001,"Alachua",2022-11-22,1166.25
12001,"Alachua",2022-11-23,61.25
12001,"Alachua",2022-11-24,38
12001,"Alachua",2022-11-25,592.5
12001,"Alachua",2022-11-26,491.25
12001,"Alachua",2022-11-27,202.5
12001,"Alachua",2022-11-28,17.75
12001,"Alachua",2022-11-29,377
12001,"Alachua",2022-11-30,4772
12001,"Alachua",2022-12-01,210.25
12001,"Alachua",2022-12-02,146.5
12001,"Alachua",2022-12-03,80
12001,"Alachua",2022-12-04,151.75
12001,"Alachua",2022-12-05,98
12001,"Alachua",2022-12-06,86.25
12001,"Alachua",2022-12-07,68.75
12001,"Alachua",2022-12-08,16.25
12001,"Alachua",2022-12-09,22.5
12001,"Alachua",2022-12-10,21
12001,"Alachua",2022-12-11,24.5
12001,"Alachua",2022-12-12,369.5
12001,"Alachua",2022-12-13,88
12001,"Alachua",2022-12-14,2311
12001,"Alachua",2022-12-15,272
12001,"Alachua",2022-12-16,332.75
12001,"Alachua",2022-12-17,108.25
12001,"Alachua",2022-12-18,199.5
12001,"Alachua",2022-12-19,7.5
12001,"Alachua",2022-12-20,22
12001,"Alachua",2022-12-21,101
12001,"Alachua",2022-12-22,85.75
12001,"Alachua",2022-12-23,196
12001,"Alachua",2022-12-24,267.75
12001,"Alachua",2022-12-25,62.25
12001,"Alachua",2022-12-26,391.25
12001,"Alachua",2022-12-27,829.25
12001,"Alachua",2022-12-28,22.5
12001,"Alachua",2022-12-29,1020.5
12001,"Alachua",2022-12-30,24.75
12001,"Alachua",2022-12-31,28.5
12003,"Baker",2022-05-01,1.5
12003,"Baker",2022-05-02,6.75
12003,"Baker",2022-05-03,9
12003,"Baker",2022-05-04,4921
12003,"Baker",2022-05-05,779.25
12003,"Baker",2022-05-06,4.5
